CH1,CH2,CH3,CH4,Label
82,45,24,18,focus
0,24,36,34,focus
0,0,0,0,focus
97,66,45,33,focus
0,0,0,5,focus
94,62,43,31,focus
0,0,4,13,focus
91,55,36,27,focus
0,0,8,17,focus
90,50,29,21,focus
0,0,13,20,focus
80,45,24,18,focus
0,0,16,22,focus
14,0,0,0,focus
98,71,50,35,focus
0,0,0,6,focus
96,64,47,35,focus
0,0,2,12,focus
93,57,38,29,focus
0,0,6,16,focus
91,52,31,23,focus
0,0,12,19,focus
85,46,25,19,focus
0,0,15,21,focus
77,38,18,14,focus
88,87,71,54,focus
0,0,6,18,focus
96,68,54,45,focus
0,0,3,16,focus
93,59,41,33,focus
0,0,6,16,focus
90,53,33,25,focus
0,0,10,19,focus
84,47,26,19,focus
0,0,15,21,focus
82,45,23,17,focus
6,40,45,40,focus
0,0,0,2,focus
96,66,47,36,focus
0,0,0,7,focus
95,61,42,32,focus
0,0,4,13,focus
92,55,35,27,focus
0,0,9,17,focus
88,50,28,21,focus
0,0,14,21,focus
81,46,24,18,focus
0,0,17,23,focus
0,0,0,0,focus
96,68,46,31,focus
0,0,0,3,focus
97,64,46,33,focus
0,0,2,11,focus
91,57,38,29,focus
0,0,7,16,focus
92,52,31,23,focus
0,0,12,20,focus
83,46,25,18,focus
0,0,14,21,focus
72,35,16,13,focus
96,88,71,54,focus
0,0,7,18,focus
98,68,54,45,focus
0,0,3,16,focus
93,58,40,33,focus
0,0,6,16,focus
92,53,33,25,focus
0,0,11,19,focus
84,48,26,20,focus
0,0,15,21,focus
80,44,22,17,focus
22,52,52,45,focus
0,0,0,6,focus
97,66,48,38,focus
0,0,0,9,focus
94,61,42,32,focus
0,0,5,14,focus
92,55,35,27,focus
0,0,9,18,focus
88,49,28,21,focus
0,0,14,21,focus
86,46,24,18,focus
0,0,20,25,focus
0,0,0,0,focus
97,67,45,30,focus
0,0,0,3,focus
95,63,45,32,focus
0,0,2,11,focus
92,57,37,28,focus
0,0,7,16,focus
89,52,30,22,focus
0,0,12,20,focus
82,46,24,18,focus
0,0,15,21,focus
66,27,11,9,focus
100,85,68,50,focus
0,0,5,16,focus
99,67,53,43,focus
0,0,4,16,focus
91,58,40,32,focus
0,0,6,16,focus
90,53,32,25,focus
0,0,11,19,focus
83,47,25,19,focus
0,0,14,21,focus
80,42,21,16,focus
46,65,60,49,focus
0,0,0,11,focus
99,66,50,40,focus
0,0,0,12,focus
96,59,41,32,focus
0,0,5,15,focus
88,54,34,26,focus
0,0,10,18,focus
85,48,26,20,focus
0,0,14,21,focus
81,45,23,17,focus
0,15,30,31,focus
0,0,0,0,focus
96,66,45,32,focus
0,0,0,4,focus
94,62,43,31,focus
0,0,3,12,focus
90,56,36,27,focus
0,0,8,16,focus
91,51,29,22,focus
0,0,13,20,focus
81,45,24,18,focus
0,0,15,21,focus
28,0,0,0,focus
100,75,55,40,focus
0,0,0,9,focus
96,65,48,37,focus
0,0,2,13,focus
91,57,38,30,focus
0,0,6,16,focus
91,52,31,23,focus
0,0,12,19,focus
85,47,25,19,focus
0,0,15,21,focus
76,40,20,15,focus
77,83,70,54,focus
0,0,5,17,focus
96,67,54,44,focus
0,0,2,15,focus
93,59,41,33,focus
0,0,6,16,focus
90,53,33,25,focus
0,0,10,18,focus
84,48,26,19,focus
0,0,15,21,focus
82,45,23,17,focus
0,29,39,37,focus
0,0,0,0,focus
97,65,45,33,focus
0,0,0,6,focus
96,62,42,31,focus
0,0,4,13,focus
91,55,35,27,focus
0,0,9,17,focus
89,50,29,21,focus
0,0,14,20,focus
81,45,24,18,focus
0,0,17,23,focus
0,0,0,0,focus
97,69,48,33,focus
0,0,0,4,focus
95,64,46,34,focus
0,0,2,12,focus
93,57,38,29,focus
0,0,7,16,focus
90,52,32,23,focus
0,0,12,19,focus
83,46,25,19,focus
0,0,14,21,focus
75,37,18,14,focus
89,87,71,54,focus
0,0,6,18,focus
98,68,54,45,focus
0,0,3,16,focus
93,58,41,33,focus
0,0,6,16,focus
92,54,33,25,focus
0,0,11,19,focus
85,48,26,20,focus
0,0,15,21,focus
80,44,23,17,focus
4,39,45,40,focus
0,0,0,2,focus
96,65,47,35,focus
0,0,0,7,focus
94,61,42,31,focus
0,0,4,13,focus
91,55,35,26,focus
0,0,9,17,focus
89,50,28,21,focus
0,0,14,20,focus
83,46,24,18,focus
0,0,18,23,focus
0,0,0,0,focus
97,68,46,32,focus
0,0,0,3,focus
95,64,45,33,focus
0,0,2,11,focus
92,57,38,28,focus
0,0,7,16,focus
90,52,31,23,focus
0,0,12,20,focus
82,46,24,18,focus
0,0,15,21,focus
73,35,17,13,focus
95,87,71,54,focus
0,0,6,18,focus
99,68,54,45,focus
0,0,3,16,focus
93,58,40,33,focus
0,0,6,16,focus
91,53,33,25,focus
0,0,11,19,focus
84,47,26,19,focus
0,0,14,21,focus
81,44,23,17,focus
15,48,50,43,focus
0,0,0,5,focus
99,66,48,37,focus
0,0,0,9,focus
94,61,42,32,focus
0,0,4,14,focus
93,55,35,26,focus
0,0,9,18,focus
88,49,28,21,focus
0,0,14,21,focus
82,46,24,18,focus
0,0,19,24,focus
0,0,0,0,focus
97,67,45,31,focus
0,0,0,3,focus
95,64,45,32,focus
0,0,2,11,focus
91,57,37,28,focus
0,0,7,16,focus
91,52,30,22,focus
0,0,12,20,focus
85,46,25,18,focus
0,0,15,21,focus
68,30,13,10,focus
99,86,69,52,focus
0,0,6,17,focus
97,67,53,44,focus
0,0,3,16,focus
94,58,40,32,focus
0,0,6,16,focus
90,53,32,24,focus
0,0,11,19,focus
87,47,26,19,focus
0,0,15,21,focus
82,44,22,16,focus
38,60,57,47,focus
0,0,0,9,focus
99,66,50,40,focus
0,0,0,11,focus
95,60,41,32,focus
0,0,5,14,focus
90,54,34,26,focus
0,0,9,18,focus
87,49,27,20,focus
0,0,14,21,focus
83,45,24,18,focus
0,6,24,27,focus
0,0,0,0,focus
96,66,45,31,focus
0,0,0,3,focus
95,63,44,32,focus
0,0,3,12,focus
89,56,37,27,focus
0,0,7,16,focus
88,51,30,22,focus
0,0,12,20,focus
81,45,24,18,focus
0,0,15,21,focus
57,19,6,6,focus
97,82,64,47,focus
0,0,3,14,focus
97,67,52,42,focus
0,0,3,15,focus
92,58,40,32,focus
0,0,6,16,focus
91,53,32,24,focus
0,0,11,19,focus
84,47,25,19,focus
0,0,15,21,focus
79,43,22,16,focus
44,63,59,48,focus
0,0,0,10,focus
98,66,50,40,focus
0,0,0,12,focus
96,60,41,32,focus
0,0,5,15,focus
91,54,34,26,focus
0,0,10,18,focus
84,48,27,20,focus
0,0,15,21,focus
82,45,23,18,focus
0,14,29,31,focus
0,0,0,0,focus
96,66,45,31,focus
0,0,0,4,focus
94,62,43,31,focus
0,0,3,12,focus
92,56,36,27,focus
0,0,8,16,focus
89,50,29,21,focus
0,0,13,20,focus
82,45,24,18,focus
0,0,15,22,focus
33,1,0,0,focus
99,76,57,41,focus
0,0,0,9,focus
96,66,49,38,focus
0,0,2,13,focus
92,58,39,31,focus
0,0,6,16,focus
89,53,32,24,focus
0,0,11,19,focus
83,46,25,19,focus
0,0,14,21,focus
80,41,20,15,focus
58,71,64,50,focus
0,0,0,13,focus
97,66,51,42,focus
0,0,0,13,focus
94,60,41,32,focus
0,0,6,16,focus
90,54,34,26,focus
0,0,10,19,focus
85,48,27,20,focus
0,0,15,21,focus
81,45,23,17,focus
0,17,31,32,focus
0,0,0,0,focus
96,66,45,32,focus
0,0,0,5,focus
97,62,43,31,focus
0,0,3,12,focus
92,56,36,27,focus
0,0,8,17,focus
87,50,29,21,focus
0,0,13,20,focus
81,45,24,18,focus
0,0,15,22,focus
22,0,0,0,focus
99,73,53,38,focus
0,0,0,7,focus
96,65,48,36,focus
0,0,2,12,focus
93,57,38,29,focus
0,0,6,15,focus
89,52,31,23,focus
0,0,11,19,focus
84,47,25,19,focus
0,0,14,21,focus
77,40,20,15,focus
70,80,68,53,focus
0,0,3,16,focus
99,67,53,44,focus
0,0,2,14,focus
93,59,41,33,focus
0,0,6,16,focus
91,53,33,25,focus
0,0,10,18,focus
85,48,26,19,focus
0,0,15,21,focus
84,45,23,17,focus
0,27,38,36,focus
0,0,0,0,focus
97,66,46,34,focus
0,0,0,6,focus
94,62,43,32,focus
0,0,4,13,focus
92,56,36,27,focus
0,0,9,17,focus
88,50,29,21,focus
0,0,13,20,focus
80,45,24,18,focus
0,0,16,22,focus
4,0,0,0,focus
97,70,49,34,focus
0,0,0,5,focus
95,64,47,35,focus
0,0,2,12,focus
93,57,38,29,focus
0,0,6,15,focus
88,52,31,23,focus
0,0,12,19,focus
83,47,25,19,focus
0,0,14,21,focus
77,39,19,14,focus
72,82,69,53,focus
0,0,4,16,focus
98,67,53,44,focus
0,0,2,15,focus
93,59,41,33,focus
0,0,6,16,focus
92,54,33,26,focus
0,0,11,19,focus
84,48,26,20,focus
0,0,15,21,focus
81,45,24,17,focus
0,28,38,36,focus
0,0,0,0,focus
96,65,45,33,focus
0,0,0,6,focus
94,61,42,31,focus
0,0,3,12,focus
90,55,35,26,focus
0,0,8,17,focus
90,51,29,21,focus
0,0,14,21,focus
79,45,24,18,focus
0,0,16,22,focus
0,0,0,0,focus
97,70,49,34,focus
0,0,0,4,focus
