CH1,CH2,CH3,CH4,Label
0,0,0,7,left
97,64,46,35,left
0,0,3,13,left
95,56,36,27,left
0,0,9,18,left
89,49,27,20,left
0,0,16,23,left
84,45,21,16,left
0,0,23,27,left
0,0,0,0,left
99,72,52,35,left
0,0,0,1,left
99,67,50,36,left
0,0,0,10,left
92,58,39,29,left
0,0,6,15,left
93,52,30,22,left
0,0,14,21,left
84,45,22,16,left
0,0,18,24,left
68,26,9,7,left
100,90,74,56,left
0,0,1,13,left
101,71,58,47,left
0,0,0,14,left
95,60,43,34,left
0,0,5,16,left
93,54,32,25,left
0,0,12,20,left
88,47,24,18,left
0,0,17,23,left
80,40,18,13,left
40,65,63,51,left
0,0,0,6,left
100,71,55,44,left
0,0,0,9,left
96,63,45,35,left
0,0,3,14,left
92,56,36,27,left
0,0,10,19,left
88,49,26,19,left
0,0,16,23,left
87,44,21,15,left
0,9,29,31,left
0,0,0,0,left
98,72,51,35,left
0,0,0,1,left
99,67,49,35,left
0,0,1,11,left
94,58,39,29,left
0,0,7,16,left
91,51,29,21,left
0,0,14,21,left
83,45,22,16,left
0,0,18,24,left
53,15,1,2,left
100,86,69,50,left
0,0,0,10,left
100,70,56,44,left
0,0,0,13,left
96,60,41,32,left
0,0,5,16,left
93,53,32,24,left
0,0,13,21,left
85,46,23,17,left
0,0,17,23,left
78,39,16,12,left
69,83,72,56,left
0,0,0,12,left
100,71,58,47,left
0,0,0,12,left
98,62,44,35,left
0,0,4,15,left
90,55,34,26,left
0,0,11,19,left
86,47,24,18,left
0,0,16,23,left
81,42,19,14,left
0,30,42,39,left
0,0,0,0,left
98,70,51,37,left
0,0,0,4,left
97,65,46,34,left
0,0,2,12,left
93,57,37,28,left
0,0,8,17,left
92,50,28,20,left
0,0,15,22,left
82,44,21,15,left
0,0,19,25,left
7,0,0,0,left
101,74,55,38,left
0,0,0,2,left
97,68,51,38,left
0,0,0,10,left
93,59,40,30,left
0,0,6,15,left
93,52,31,23,left
0,0,13,20,left
85,46,23,17,left
0,0,18,24,left
78,36,15,11,left
